the_version,non_the_version,the_count,non_the_count
The International Brotherhood of Electrical Workers,International Brotherhood OF Electrical Workers,3,1
The Israel Christian Nexus,Israel Christian Nexus,3,1
The Klabin Company,Klabin Company,3,1
The LA Conservation Corps,La Conservation Corps,3,1
The Longfin Tackle Store,Longfin Tackle Store,3,1
The Los Angeles County Office of Education,LoS Angeles County Office of Education,3,1
The MADE,made,3,1
The Morrow Institute,Morrow Institute,3,1
The National Campaign to Prevent Teen and Unplanned Pregnancy,National Campaign to Prevent Teen and Unplanned Pregnancy,3,1
The National Humane Education Society,National Humane Education Society,3,1
The Nature Conservancy (Co-Sponsor),Nature Conservancy (Co-Sponsor),3,1
The Pacific Association of Domestic Insurance Companies,Pacific Association Of Domestic Insurance Companies,3,1
The Paralyzed Veterans of California,Paralyzed Veterans of California,3,1
The Procter and Gamble Company,Procter and Gamble Company,3,1
The Professional Engineers in California Government (PECG),Professional Engineers In California Government (PECG),3,1
The Recovery Advocacy Project,Recovery Advocacy Project,3,1
The Resilient Floor Covering Institute,Resilient Floor Covering Institute,3,1
The Rusty Hook Tackle Store,Rusty Hook Tackle Store,3,1
The Sierra Nevada Alliance,SIERRA NEVADA ALLIANCE,3,1
The Solar Connection,Solar Connection,3,1
The Sparkjoy Foundation,Sparkjoy Foundation,3,1
The Sturdevant Law Firm,Sturdevant Law Firm,3,1
The Sutton Law Firm,Sutton Law Firm,3,1
The Turlock Irrigation District,TURLOCK IRRIGATION DISTRICT,3,1
The UNIDOS Network,Unidos Network,3,1
The Utility Workers Union of America,Utility Workers Union Of America,3,1
The Westside Greens,Westside Greens,3,1
The Women's Christian Temperance Union of Southern California,Women's Christian Temperance Union of Southern California,3,1
The Women's Council,Women's Council,3,1
The Women's Foundation of California - Women's Policy Institute,Women's Foundation of California - Women's Policy Institute,3,1
the Administration of Justice,Administration of Justice,3,1
the California Court Clerks,California Court Clerks,3,1
the California Healthy Nail Salon Collaborative,California Healthy nail Salon Collaborative,3,1
the Fort Ord,Fort Ord,3,1
the National Association for the Advancement of Colored People,National Association for The Advancement of Colored People,3,1
the Walt Disney Company and its Affiliated Entities,Walt Disney Company and Its Affiliated Entities,3,1
The AMVETS - Department of California,Amvets - Department of California,2,2
The Addiction Studies Program at Los Angeles Pierce College,Addiction Studies Program at Los Angeles Pierce College,2,2
The African Parrot Society,African Parrot Society,2,2
The Alameda Business Association,Alameda Business Association,2,2
The Alessandra Advocacy Group,Alessandra Advocacy Group,2,2
The American Alliance for Medical Cannabis,American Alliance for Medical Cannabis,2,2
"The American College of Obstetricians and Gynecologists, Dist. IX","American College of Obstetricians and Gynecologists, Dist. IX",2,2
"The American Federation of State, County, and Municipal Employees, AFL-CIO","American Federation of State, County, And Municipal Employees, AFL-CIO",2,2
The American Institute of Aeronautics and Astronautics,American Institute of Aeronautics and Astronautics,2,2
The American Institute of Architects (AIA),American Institute of Architects (AIA),2,2
The Arc of Butte County,Arc of Butte County,2,2
The Arc of San Francisco,Arc of San Francisco,2,2
The Asian American Architects/Engineers Association,Asian American Architects/Engineers Association,2,2
The Asian Law Alliance,Asian law Alliance,2,2
The Board of Supervisors of Los Angeles County,Board of Supervisors of Los Angeles County,2,2
The CA Alliance for Consumer Protection,CA Alliance For Consumer Protection,2,2
The California Association of Area Agencies on Aging,California Association of Area Agencies On Aging,2,2
The California Association of Homes,California Association of Homes,2,2
The California Fire Training Alliance,California Fire Training Alliance,2,2
The California Food Project,California Food Project,2,2
The California Pharmacists Association (CPhA),California Pharmacists Association (CphA),2,2
The Center at Sierra Health Foundation,Center at Sierra Health Foundation,2,2
The Chiefs of,Chiefs of,2,2
The City of Livermore,City Of Livermore,2,2
The City of Torrance,City Of Torrance,2,2
The Classical Academy,Classical Academy,2,2
The Clorox Co,Clorox Co,2,2
The Coalition for Fair and Caring Schools,Coalition for Fair and Caring Schools,2,2
The Consulate General of Sweden,Consulate General of Sweden,2,2
The County of Santa Barbara,County Of Santa Barbara,2,2
"The Driving School Association of the Americas, Inc","Driving School Association of the Americas, INC",2,2
The Each One Teach One Foundation,Each One Teach One Foundation,2,2
The Education Trust,Education Trust,2,2
The Elephant Managers Association,Elephant Managers Association,2,2
The Empowerthem Collective,EmpowerTHEM Collective,2,2
The Executive Committee of the Family Law Section of the State,Executive Committee of the Family Law Section of the State,2,2
The Federation of Hillside and Canyon Association,Federation of Hillside and Canyon Association,2,2
The Fight for $15 and a Union,Fight for $15 and a Union,2,2
The Food Allergy and Anaphylaxis Network,Food Allergy and Anaphylaxis Network,2,2
The Gasser Foundation,Gasser Foundation,2,2
The Hartwell Corporation,Hartwell Corporation,2,2
The Inn at Mavericks,Inn At Mavericks,2,2
The Johns Hopkins Center for Health Security,Johns Hopkins Center for Health Security,2,2
The Laguna Playhouse,Laguna Playhouse,2,2
The Lange Foundation,Lange Foundation,2,2
The Latino and Latina Roundtable of the San Gabriel Valley and Pomona Valley,Latino and Latina Roundtable of the San Gabriel Valley and Pomona Valley,2,2
The Mangan Park Neighborhood Association,Mangan Park Neighborhood Association,2,2
The Mental Health Collaborative of Kern County,Mental Health Collaborative of Kern County,2,2
The Ministry in Action Commission,Ministry In Action Commission,2,2
The Natoma Company,Natoma Company,2,2
The Net at Two Rivers,Net at Two Rivers,2,2
The Network of California Fairs,Network of California Fairs,2,2
The Parkinson's Institute,Parkinson's Institute,2,2
The Partnership for Safe Families & Communities of Ventura County,Partnership for Safe Families & Communities of Ventura County,2,2
The Pet Pantry,Pet Pantry,2,2
The Pet Press,Pet Press,2,2
The REACH Project,REACH Project,2,2
The Riley Center of St. Vincent de Paul Society,Riley Center of St. Vincent De Paul Society,2,2
The Ronald Reagan Presidential Foundation,Ronald Reagan Presidential Foundation,2,2
The Sacramento Area Council of Governments,Sacramento Area Council Of Governments,2,2
The Student Housing Coalition,Student Housing Coalition,2,2
"The Surfrider Foundation, San Diego Chapter","Surfrider Foundation, San Diego Chapter",2,2
The Training Center,Training Center,2,2
The West Hollywood Project,West Hollywood Project,2,2
The Women's Center-High Desert,Women's Center-High Desert,2,2
The Wornick Company,Wornick Company,2,2
the Adjutant General,Adjutant General,2,2
the Chop Wood Carry Water CA Newsletter,Chop Wood Carry Water CA Newsletter,2,2
the City of Oakland,City Of Oakland,2,2
the County of Los Angeles Board of Supervisors,County of Los Angeles Board Of Supervisors,2,2
the STAND Foundation,Stand Foundation,2,2
the Sportfishing Financial Group,Sportfishing Financial Group,2,2
The A. L. Costa Community Development Center,A. L. Costa Community Development Center,1,3
"The Academic Senate, California State University","Academic Senate, California State University",1,3
The Advantage Group,Advantage Group,1,3
The Advocacy Respect Commitment of California,Advocacy Respect Commitment of California,1,3
The Affordable Housing Collaborative,Affordable Housing Collaborative,1,3
The Alliance for Toxic Free Fire Safety (ATFFS),Alliance for Toxic Free Fire Safety (ATFFS),1,3
"The American Academy of Pediatrics, California (AAP-CA)","American Academy of Pediatrics, California (AAP-CA)",1,3
"The American Association for Marriage and Family Therapy, California","American Association for Marriage and Family Therapy, California",1,3
The American College of Obstetricians and Gynecologists of,American College of Obstetricians and Gynecologists of,1,3
The American Congress of,American Congress of,1,3
"The American Parkinson Disease Association, Inc","American Parkinson Disease Association, Inc",1,3
The Anti,Anti,1,3
The Arc Of California,Arc Of California,1,3
The Associates Group for Affordable Housing,Associates Group for Affordable Housing,1,3
The Audrie Pott Foundation,Audrie Pott Foundation,1,3
The Bresee Foundation,Bresee Foundation,1,3
The CA,Ca,1,3
The CA Conference of Machinist,CA Conference of Machinist,1,3
The CROP Organization,CROP Organization,1,3
The Cahto Tribe Of The Laytonville Rancheria,Cahto Tribe of The Laytonville Rancheria,1,3
The Cahto Tribe of The Laytonville Rancheria,Cahto Tribe of The Laytonville Rancheria,1,3
The CalEITC Coalition,CalEITC Coalition,1,3
The California Advocates for Nursing,California Advocates for Nursing,1,3
The California Association for Nurse Practitioners (CANP),California Association for Nurse Practitioners (CANP),1,3
The California Association for Professionals in Infection Control & Epidemiology,California Association for Professionals in Infection Control & Epidemiology,1,3
The California Association of Mortgage Brokers (CAMB),California Association of Mortgage Brokers (CAMB),1,3
The California Association of Nurse Anesthetists (CANA),California Association of Nurse Anesthetists (CANA),1,3
The California Association of Obstetricians and Gynecologists (CAOG),California Association of Obstetricians and Gynecologists (CAOG),1,3
The California Bat Working Group,California Bat Working Group,1,3
The California Council of Community Behavioral Health Agencies,California Council Of Community Behavioral Health Agencies,1,3
The California Fair Services Authority,California Fair Services Authority,1,3
The California Lawyer's Association,California Lawyer's Association,1,3
The California Legislative Council for Older Americans,California Legislative Council For Older Americans,1,3
The California Ostrich Association,California Ostrich Association,1,3
The California Pharmacists,California Pharmacists,1,3
The California Railroad,California Railroad,1,3
"The California State Legislative Board of the Sheet Metal, Air, Rail and Transportation Workers - Transportation Division (SMART-TD)","California State Legislative Board of the Sheet Metal, Air, Rail and Transportation Workers - Transportation Division (SMART-TD)",1,3
The California-Mexico Studies Center,California-Mexico Studies Center,1,3
The Camp,Camp,1,3
The Center for LGBTQ and Gender Studies in Religion,Center for LGBTQ and Gender Studies in Religion,1,3
"The Center for Oceanic Awareness, Research, & Education","Center For Oceanic Awareness, Research, & Education",1,3
The Center for Violence-free Relationships,Center for Violence-Free Relationships,1,3
The Child Care Resource & Referral Network,Child Care Resource & Referral Network,1,3
The City of San Jose,City Of San Jose,1,3
The Climate Reality Project: San Fernando Valley Chapter,Climate Reality Project: San Fernando Valley Chapter,1,3
The Coalition of Franchise Associations,Coalition of Franchise Associations,1,3
The Committee of Bar Examiners,Committee of Bar Examiners,1,3
The Consul General of Austria,Consul General of Austria,1,3
"The Cow Palace, 1-A District Agricultural Association","Cow Palace, 1-A District Agricultural Association",1,3
The Davis Chamber of Commerce,Davis Chamber of Commerce,1,3
The Department of Housing and Community,Department of Housing and Community,1,3
"The Dixie Group, Inc","Dixie Group, Inc",1,3
The Duncan Group,Duncan Group,1,3
"The East Bay Consortium of Educational Institutions, Inc","East Bay Consortium of Educational Institutions, Inc",1,3
The Edge,Edge,1,3
The Education Trust - West Public Advocates,Education Trust - West Public Advocates,1,3
The End Police Violence Collective,End Police Violence Collective,1,3
The Environmental Coalition,Environmental Coalition,1,3
The Environmental Council of Santa Cruz County,Environmental Council of Santa Cruz County,1,3
The Executive Committee of the Family Law Section of the California State Bar,Executive Committee of the Family Law Section of the California State Bar,1,3
The Fellowship of Affirming Ministries,Fellowship of Affirming Ministries,1,3
The First American,First American,1,3
The Food Bank of Monterey County,Food Bank of Monterey County,1,3
The Foothill Collaborative for Sustainability,Foothill Collaborative For Sustainability,1,3
The Fund for Animals INC,Fund for Animals Inc,1,3
The Greater Bakersfield Chamber of Commerce,Greater Bakersfield Chamber Of Commerce,1,3
The Inland Empire Safe Kids Coalition,Inland Empire Safe Kids Coalition,1,3
The Inland Empire-Immigrant Youth Collective,Inland Empire-Immigrant Youth Collective,1,3
The Institute of London Underwriters,Institute of London Underwriters,1,3
The Interdisciplinary Council on Development and Learning,Interdisciplinary Council on Development and Learning,1,3
The KHEIR (Korean Health Education Information & Research) Center,KHEIR (Korean Health Education Information & Research) Center,1,3
The Kevin Collins Foundation,Kevin Collins Foundation,1,3
The Kitchen Rainmakers,Kitchen Rainmakers,1,3
The Laguna Greenbelt Inc,Laguna Greenbelt INC,1,3
The Land Conservancy,Land Conservancy,1,3
The Latino Coalition for A Healthy California,Latino Coalition For a Healthy California,1,3
The Latino Commission on Alcohol and Drug Abuse Services,Latino Commission on Alcohol and Drug Abuse Services,1,3
The Los Angeles County Solid Waste Management Committee/Integrated,Los Angeles County Solid Waste Management Committee/Integrated,1,3
The Lynch Foundation,Lynch Foundation,1,3
The Marin Cancer Project,Marin Cancer Project,1,3
The Marin County Board of Supervisors,Marin County Board Of Supervisors,1,3
The Men's Warehouse,Men's Warehouse,1,3
The Oregon State Ambulance Association,Oregon State Ambulance Association,1,3
The Orthopaedic Surgery Center of La Jolla,Orthopaedic Surgery Center of La Jolla,1,3
The Pacific Lumber Company (PALCO),Pacific Lumber Company (PALCO),1,3
The Paragon Companies,Paragon Companies,1,3
The Partnership for Los Angeles Schools,Partnership For Los Angeles Schools,1,3
The Placita Santa Fe Merchants Association,Placita Santa Fe Merchants Association,1,3
The Point,Point,1,3
The Professional Insurance Agents of California & Nevada,Professional Insurance Agents of California & Nevada,1,3
The Public Investors Arbitration Bar Association (PIABA),Public Investors Arbitration Bar Association (PIABA),1,3
The Redwood Empire Food Bank,Redwood Empire Food bank,1,3
The Safe Child Coalition,Safe Child Coalition,1,3
The San Francisco SPCA,San Francisco Spca,1,3
The Selma Enterprise,Selma Enterprise,1,3
The Sex Workers Project of The Urban Justice Center,Sex Workers Project of the Urban Justice Center,1,3
The Sheriff of Amador County,Sheriff of Amador County,1,3
The Social Justice,Social Justice,1,3
The Songwriters Guild of America,Songwriters Guild of America,1,3
The Southwestern California Legislative Council,Southwestern California Legislative Council,1,3
"The State Bar, Estate Planning, Trust","State Bar, Estate Planning, Trust",1,3
The State Coalition of Probation Organizations,State Coalition Of Probation Organizations,1,3
The State Department of Mental Health (SPONSOR),State Department of Mental Health (SPONSOR),1,3
The Stop ALD Foundation,Stop ALD Foundation,1,3
The Sutta Company,Sutta Company,1,3
The TG/ENBY Project,TG/ENBY Project,1,3
The Technology Network,Technology Network,1,3
The Torres Martinez Desert Cahuila Indians,Torres Martinez Desert Cahuila Indians,1,3
The TriCounty Watchdogs,TriCounty Watchdogs,1,3
The True Friendship Missionary Baptist Church,True Friendship Missionary Baptist Church,1,3
The Universal Fellowship,Universal Fellowship,1,3
The Ventura County Climate Hub,Ventura County Climate Hub,1,3
The Veterans Caucus of the Democratic Party,Veterans Caucus of the Democratic Party,1,3
The Welk Resort Group,Welk Resort Group,1,3
"The Willie L. Brown, Jr. Institute","Willie L. Brown, Jr. Institute",1,3
the American Civil Liberties Union,American Civil LIberties Union,1,3
the Aurora Santa Rosa Hospital,Aurora Santa Rosa Hospital,1,3
the Automobile Club of California,Automobile Club of California,1,3
the Bienestar Human Services,BIENESTAR Human Services,1,3
the Brady Campaign to Prevent Gun Violence,BRADY Campaign to Prevent Gun Violence,1,3
the California Academy of Family Physicians,California Academy Of Family Physicians,1,3
the California Association of Health Plans,California Association Of Health Plans,1,3
the City of San Jose,City Of San Jose,1,3
the Enviromental Health Coalition,Enviromental Health Coalition,1,3
the First Amendment,First Amendment,1,3
the Global Cannabinoid Research Center,Global Cannabinoid Research Center,1,3
the Law Foundation of Silicon Valley,Law Foundation Of Silicon Valley,1,3
the Medical Board of,Medical Board of,1,3
the Neighborhood Legal Services of Los Angeles County,Neighborhood Legal Services Of Los Angeles County,1,3
the River Project,River Project,1,3
the State Coalition of Probation Organizations,State Coalition Of Probation Organizations,1,3
the Trusts & Estates Section of the State Bar of California,Trusts & Estates Section of the State Bar of California,1,3
the Vallecito Union School District,Vallecito Union School District,1,3
the Vegan of La,Vegan of LA,1,3
the Village Family Services,Village Family Services,1,3
the Warner Bros. Entertainment INC,Warner Bros. Entertainment Inc,1,3
the Youth Law Center,Youth law Center,1,3
The Adult Entertainment Industry,Adult Entertainment Industry,2,1
The Alliance for School Boundary Change,Alliance for School Boundary Change,2,1
The American Board of Genetic Counseling,American Board of Genetic Counseling,2,1
The Antelope Valley Committee on Aging,Antelope Valley Committee on Aging,2,1
The Arc and United Cerebal Palsy California Collaboration,Arc and United Cerebal Palsy California Collaboration,2,1
The Arc of Riverside,Arc of Riverside,2,1
The Association for Multidisciplinary Education and Research in Substance Use and Addiction,Association for Multidisciplinary Education and Research in Substance Use and Addiction,2,1
The Association of Black Psychologists,Association of Black Psychologists,2,1
The Association of Financial Development Corporation,Association of Financial Development Corporation,2,1
"The Association of the United States Army, Northern California","Association of the United States Army, Northern California",2,1
The Audubon Center at Debs Park,Audubon Center At Debs Park,2,1
The Bedford Center,Bedford Center,2,1
The Board of Behavioral Sciences,Board Of Behavioral Sciences,2,1
The Branson School,Branson School,2,1
The British Government,British Government,2,1
The California Adult Webmasters Association,California Adult Webmasters Association,2,1
The California Alliance for Consumer,California Alliance For Consumer,2,1
The California Association of Environmental Health Administrators,California Association Of Environmental Health Administrators,2,1
The California Association of Highway Patrolmen,California Association Of Highway Patrolmen,2,1
The California Association of School Business Officials (CASBO),California Association of School Business Officials (Casbo),2,1
The California Business Properties Association,CALIFORNIA BUSINESS PROPERTIES ASSOCIATION,2,1
The California Children's Hospital Association,California Children'S Hospital Association,2,1
The California Commission on the Status of Women,California Commission on The Status of Women,2,1
The California Healthcare Association,California HEALTHCARE Association,2,1
The California League of Food Processors,California League Of Food Processors,2,1
The California Long Term Care Ombudsman Association,California Long term Care Ombudsman Association,2,1
The California Long-Term Care Ombudsman Association (CLTCOA),California Long-term Care Ombudsman Association (CLTCOA),2,1
The California Pool and Spa Association,California Pool and spa Association,2,1
The California Rail Foundation,California Rail Foundation,2,1
The California Society of Anesthesiologists,California Society Of Anesthesiologists,2,1
The California Society of Enrolled Agents,California Society Of Enrolled Agents,2,1
The California State Commanders Veterans Council,CALIFORNIA STATE COMMANDERS VETERANS COUNCIL,2,1
The California Taxpayers' Association (Cal-Tax),California Taxpayers' Association (Cal-TAX),2,1
The California Trade and Commerce,California Trade and Commerce,2,1
"The Carpet, Linoleum, and Soft Tile Workers Local Union 12","Carpet, Linoleum, and soft Tile Workers Local Union 12",2,1
The Cellular Network,Cellular Network,2,1
"The Center for Independent Living, INC","Center for Independent Living, INC",2,1
"The Center for Independent Living, Inc","Center for Independent Living, INC",2,1
"The Center, Orange County","Center, Orange County",2,1
"The Chamber of Commerce, Santa Barbara Region","Chamber of Commerce, Santa Barbara Region",2,1
The Chemical Industry Council of California,CHEMICAL INDUSTRY COUNCIL OF CALIFORNIA,2,1
The Children's Partnership (Co-Sponsor),Children's Partnership (Co-Sponsor),2,1
The Climate Reality Project - San Fernando Valley Chapter,Climate Reality Project - San Fernando Valley Chapter,2,1
The Coalition of California Utility Employees,Coalition OF California Utility Employees,2,1
The Collateral Loan and Secondhand Dealers Association (CLSDA),Collateral Loan and Secondhand Dealers Association (CLSDA),2,1
The Commerce Casino & Hotel,Commerce Casino & Hotel,2,1
The Commons,Commons,2,1
The Consul General of Spain,Consul General of Spain,2,1
The County of Alameda,County Of Alameda,2,1
The County of Butte,County Of Butte,2,1
The Distilled Spirits Council of the United States,Distilled Spirits Council Of The United States,2,1
The Diving Equipment and Marketing Association,Diving Equipment and Marketing Association,2,1
The Early Childhood Alliance,Early Childhood Alliance,2,1
The Episcopal Chaplaincy at San Jose State University,Episcopal Chaplaincy at San Jose State University,2,1
The Fashion Institute of Design and Merchandising (FIDM),Fashion Institute of Design and Merchandising (FIDM),2,1
The Father's Rights and Equality,Father's Rights and Equality,2,1
The Fatherso Rights and Equality Exchange,Fatherso Rights and Equality Exchange,2,1
The Filipino American Service Group Inc. (FASGI),Filipino American Service Group Inc. (FASGI),2,1
The Flea Market Inc,Flea Market Inc,2,1
The Food and Beverage Association,Food and Beverage Association,2,1
The Freel Agency,Freel Agency,2,1
The Fully Informed Jury Association,Fully Informed Jury Association,2,1
The Fund For,Fund for,2,1
The G.R.E.E.N Foundation,G.R.E.E.N Foundation,2,1
The Gamble Institute,Gamble Institute,2,1
The Government of Canada,Government of Canada,2,1
The Green Team at Francis Parker School,Green Team at Francis Parker School,2,1
The Guidance Charter School,Guidance Charter School,2,1
The Heal Project,HEAL Project,2,1
The Hollywood Women's Political Committee,Hollywood Women's Political Committee,2,1
The Humane Society of,Humane Society of,2,1
The Inclusion Collaborative,Inclusion Collaborative,2,1
The Institute for Socio-Economic Justice and Progressive Community,Institute for Socio-Economic Justice and Progressive Community,2,1
The Interior Design Society,Interior Design Society,2,1
The Juvenile Justice Project,Juvenile Justice Project,2,1
"The Kern, Inyo, and Mono Counties Central Labor Council","Kern, Inyo, and Mono Counties Central Labor Council",2,1
The Law Enforcement Chaplaincy-Sacramento,Law Enforcement Chaplaincy-Sacramento,2,1
The Los Angeles Foundation for the Circus Arts,Los Angeles Foundation for the Circus Arts,2,1
"The Los Angeles Probation Officers' Union, AFSCME Local 685","Los Angeles Probation Officers' Union, AFSCME Local 685",2,1
The Market Connection,Market Connection,2,1
The Marlene Chriss Gerspach-Warnes Cancer Research Fund,Marlene Chriss Gerspach-Warnes Cancer Research Fund,2,1
The Mary Byron Foundation,Mary Byron Foundation,2,1
The Merchants Association of Fresno,Merchants Association of Fresno,2,1
The Monterey County Board of Supervisors,Monterey County Board Of Supervisors,2,1
The Motion Picture Association of America,Motion Picture Association Of America,2,1
The National Association for the Advancement of Colored People,National Association for The Advancement of Colored People,2,1
The National Association of Recording Merchandisers,National Association of Recording Merchandisers,2,1
The National Football League (NFL),National Football League (NFL),2,1
The Office of the State Long-Term Care Ombudsman,Office of the State Long-term Care Ombudsman,2,1
The Pacific Unified School District,Pacific Unified School District,2,1
The Parker and Friends Fund,Parker and Friends Fund,2,1
The Partnership for Children,Partnership for Children,2,1
"The Peace, Earthcare and Social Witness Committee","Peace, Earthcare and Social Witness Committee",2,1
The Pride Panthers Coalition INC,Pride Panthers Coalition Inc,2,1
The Prudential Insurance Company of America,Prudential Insurance Company of America,2,1
The Read to Me Project,Read to Me Project,2,1
The Redwoods,Redwoods,2,1
The Rock Academy,Rock Academy,2,1
The San Diego Business Roundtable for Education,San Diego Business Roundtable for Education,2,1
The SeaChange Agency,Seachange Agency,2,1
The Secretary of State,Secretary Of State,2,1
The Seed Advisory Board,Seed Advisory Board,2,1
The South Bay Down Syndrome Association,South Bay Down Syndrome Association,2,1
The Southern California Gas Company,Southern California gas Company,2,1
The Stronger California Coalition,Stronger California Coalition,2,1
The Torrance Parents Organization,Torrance Parents Organization,2,1
"The Village Project, INC","Village Project, Inc",2,1
The Watershed Nursery,Watershed Nursery,2,1
The Westside Impact Coalition,Westside Impact Coalition,2,1
"The Women's Zionist Organization of America, Inc","Women's Zionist Organization of America, Inc",2,1
The YMCA of Metropolitan Los Angeles,YMCA Of Metropolitan Los Angeles,2,1
The Yolo County Ag & Food Alliance,Yolo County Ag & Food Alliance,2,1
The Zenith,Zenith,2,1
the Aura Seating,Aura Seating,2,1
the Cal Asian Chamber of Commerce,CAL Asian Chamber of Commerce,2,1
the California Association of Resource Conservation Districts,California Association Of Resource Conservation Districts,2,1
the City of,CITY OF,2,1
the Coalition for Elder & Disability Rights,Coalition for Elder & DisAbility Rights,2,1
the Coalition of California Utility Employees,Coalition OF California Utility Employees,2,1
the Consumer Attorneys of California,CONSUMER ATTORNEYS OF CALIFORNIA,2,1
the Consumer Federation of California,CONSUMER FEDERATION OF CALIFORNIA,2,1
the County Health Executives Association of California (CHEAC),County Health Executives Association of California (Cheac),2,1
the Friends Committee on Legislation of California,FRIENDS COMMITTEE ON LEGISLATION OF CALIFORNIA,2,1
the Legion of,Legion of,2,1
the Lutheran Office of Public Policy - California,LUTHERAN OFFICE OF PUBLIC POLICY - CALIFORNIA,2,1
"the Plumbing, Heating and Piping Industry","Plumbing, Heating and Piping Industry",2,1
the State Bar (FLEXCOM),State Bar (FLEXCOM),2,1
"the Wellhead Electric Company, Inc","Wellhead Electric Company, INC",2,1
The Adam Walsh Foundation,Adam Walsh Foundation,1,2
The African American Network for Violence Free Relationships,African American Network for Violence Free Relationships,1,2
The Agent and Brokers Legislative Council,Agent and Brokers Legislative Council,1,2
The American Cancer Society/Cancer Action Network,American Cancer Society/Cancer Action Network,1,2
"The American College of Obstetricians and Gynecologists, District IX, California","American College of Obstetricians and Gynecologists, District IX, California",1,2
"The American Federation of State, County and Municipal Employees, AFL-CIO (Co-Sponsor)","American Federation of State, County and Municipal Employees, Afl-cio (Co-Sponsor)",1,2
"The American Federation of State, County and State Employees, AFL-CIO","American Federation of State, County and State Employees, AFL-CIO",1,2
"The American Legion, Post 102","American Legion, Post 102",1,2
The Arc Riverside,ARC Riverside,1,2
The Arts and Healing Network,Arts and Healing Network,1,2
The Association for the Recovery of Children,Association for the Recovery of Children,1,2
The Association of African Americans in Fire Service,Association of African Americans in Fire Service,1,2
The Association of Destination Management Executives,Association of Destination Management Executives,1,2
"The Black Butte Saloon (Weed, California)","Black Butte Saloon (Weed, California)",1,2
"The Board of Supervisors, Madera County","Board of Supervisors, Madera County",1,2
The Bridge Bible Fellowship,Bridge Bible Fellowship,1,2
The Bureau for Private Postsecondary and Vocational Education,Bureau for Private Postsecondary and Vocational Education,1,2
The CA Chapter of the American College of Cardiology,CA Chapter of The American College of Cardiology,1,2
The CA Chapters of the Brady Campaign to Prevent Gun Violence,CA Chapters of the Brady Campaign to Prevent Gun Violence,1,2
The Cachil Dehe Band of Wintun Indians,Cachil dehe Band of Wintun Indians,1,2
The California Adult Business Association,California Adult Business Association,1,2
"The California Association for Health, Physical Education, Recreation and Dance","California Association For Health, Physical Education, Recreation and Dance",1,2
The California Association for Micro Enterprise Opportunity,California Association For Micro Enterprise Opportunity,1,2
The California Association of School Business Officials,California Association Of School Business Officials,1,2
The California Chapter of the National,California Chapter of the National,1,2
The California Coalition for Women Prisoners,California Coalition For Women Prisoners,1,2
The California Community Colleges Chancellors Office,California Community Colleges Chancellors Office,1,2
The California Council of Community,California Council of Community,1,2
The California Health Advocates (CHA),California Health Advocates (CHA),1,2
The California Healthcare Institute,California HealthCare Institute,1,2
The California League Of Conservation Voters,CALIFORNIA LEAGUE OF CONSERVATION VOTERS,1,2
The California Peace Officer' Association,California Peace Officer' Association,1,2
The California Solar and Storage Association,California Solar And Storage Association,1,2
The California State Superintendent of Public Instruction,California State Superintendent of Public Instruction,1,2
The California Welfare Directors,California Welfare Directors,1,2
The Campaign for A Safe and Healthy California,Campaign for A Safe and Healthy California,1,2
The Center At Sierra Health Foundation,Center at Sierra Health Foundation,1,2
"The Center For Oceanic Awareness, Research, and Education (COARE)","Center for Oceanic Awareness, Research, and Education (COARE)",1,2
The Center for Responsible Lending,Center For Responsible Lending,1,2
"The Central Labor Council of Contra Costa County, AFL-CIO","Central Labor Council of Contra Costa County, AFl-CIO",1,2
The Chicano/Latino Medical Association of California,Chicano/Latino Medical Association of California,1,2
"The Children's Collective, INC","Children's Collective, Inc",1,2
The Chinese Historical Society of Southern California,Chinese Historical Society of Southern California,1,2
The Chronic Care Coalition (CCC),Chronic Care Coalition (CCC),1,2
The Citizens Commission on Human Rights (CCHR),Citizens Commission on Human Rights (CCHR),1,2
The City of Del Mar,City Of Del Mar,1,2
The City of Glendora,City Of Glendora,1,2
The City of Hope International,City of Hope International,1,2
The City of Paso Robles,City Of Paso Robles,1,2
The City of Roseville,City Of Roseville,1,2
"The Climate Reality Project, Riverside County","Climate Reality Project, Riverside County",1,2
The Community Redevelopment Agency,Community Redevelopment Agency,1,2
The Council on Developmental Disabilities,Council on Developmental Disabilities,1,2
The County Alcohol and Drug Program Administrators Association of,County Alcohol and drug Program Administrators Association of,1,2
The County of Benito,County of Benito,1,2
The Crossroads of the West Gun Shows,Crossroads of The West Gun Shows,1,2
"The Department of General Services, Office of State Architect","Department of General Services, Office of State Architect",1,2
The East Bay Community Law Center,East Bay Community law Center,1,2
The Elk Grove CSD Fire Department,Elk Grove CSD Fire Department,1,2
The Environmental Defense Fund,Environmental Defense fund,1,2
The Environmental Finance Center for Region IX,Environmental Finance Center for Region IX,1,2
The FAIR Foundation,Fair Foundation,1,2
The Fashion Law Group,Fashion Law Group,1,2
The Foster Parent Association of Santa Cruz County,Foster Parent Association of Santa Cruz County,1,2
The Foundation For Taxpayer And Consumer Rights,Foundation for Taxpayer And Consumer Rights,1,2
The Free,Free,1,2
The Friends Committee on Legislation of CA (FCLCA),Friends Committee on Legislation of CA (FCLCA),1,2
The Gay and Lesbian Armenian Society,Gay and Lesbian Armenian Society,1,2
The Grandkidsandme Foundation,Grandkidsandme Foundation,1,2
