conjoined_text,mapped_orgs
94,CA Teachers Assoc. Anaheim Arvin Brentwood Ceres Coalinga Corcoran Delano Duarte Firebaugh Fresno Huron Kerman Lafayette Livermore Merced Modesto Moraga Norco Oakland Oceanside Orinda Poway Shafter Stockton Turlock Visalia Fresno Kern Madera Florin Forestville District
95,CA Teachers Assoc. Ceres Duarte Livermore Merced Modesto Poway Stockton
96,"CAL-RAD Forum, Stanford University, Southern"
97,CHANGE (Californians for a Healthy & Green Economy Children Now City of Berkeley Clean Water Action Commonweal Community Health Council Consumer Federation of California County of Santa Clara Board of Supervisors County of Solano Board of Supervisors County of Los Angeles EcoMom Alliance Environment California Environmental Defense Fund First 5 Association of California First 5 Fresno County First 5 LA Food & Water Watch Fresno Metro Ministry Green to Grow Great Beginnings for Black Babies Having Our Say Healthy Child Healthy World Latinos Unidos Concientizados Al Ambiente Making Our Milk Safe (MOMS) Moms Advocating Sustainability Mothers of Marin Against the Spray Natural Resources Defense Council Planned Parenthood Advocacy Project of LA Planned Parenthood of CA Reproductive Justice Coalition Reproductive Justice Association of L.A. San Diego and Imperial Counties Labor Council San Diego Coast Keeper SF Environment Sierra Club California Silicon Valley Toxics Coalition St. John's Well Child and Family Center Teens Turning Green The Help Group US Autism & Asperger Association Worksite Wellness LA)
98,"CICC (Chemical manufacturers, distributors & users), California League of Conservation"
99,Calif. Academy of Family State Assoc. of Counties
100,California Abortion & Reproductive Rights Action League Network Planned Parenthood Affiliates California American
101,California Academy of Family Physicians California Chapter of the American College of Emergency Physicians
102,"California Adoption Alliance California Congress of Parents, Teachers and Students, Inc"
103,California Affordable Housing Coalition for Persons with Developmental Disabilities and Becoming
104,"California Apartment Association Board of Equalization Chairman, Jerome Horton California Building Industry Association California Contract Cities Association California League of Conservation Voters California Retailers Association California Rural Legal Assistance Foundation Californians Against Waste Center for Employment Training Center on Race Poverty and the Environment Central Basin Municipal Water District City of Lancaster City of Long Beach City of Oakland Coalition for Humane Immigrant Rights of Los Angeles Coalition of California Welfare Rights Organization Community Water Center Employers Training Resource Independent Cities Association La Cooperativa Campesina de California Los Angeles Chamber of Commerce Los Angeles County Supervisor, Don Knabe Los Angeles County Supervisor, Michael Antonovich Los Angeles Mayor, Eric Garcetti Proteus Inc. San Diego County Water Authority Sierra Club California"
105,California Apartment Association California Water
106,California Assn. of Collectors Department of Corporations
107,"California Association for Medical Laboratory Technology, California Labor Federation, California Nurses Association, Engineers & Scientists of California, Local 20, IFPTE, AFL-CIO, Teamsters Public Affairs Council, and UFCW - Western"
108,California Association of Health Plans (CAHP) and Association of California Life and Health Insurance Companies (ACLHIC) oppose this bill stating that they
109,California Association of Marriage and Family Therapists and California
110,California Association of Pest Control AdvisersNone received
111,"California Association of Port Authorities, California Business Properties Association, California Chamber of Commerce, California Manufacturers and Technology Association, California Railroad Industry, California"
112,"California Association of Public Administrators, Public Health Care Services"
113,California Association of RV Parks and Campgrounds/Camp-California Marketing
114,California Association of Resource Conservation Districts California Farm Bureau Federation
115,"California Association of Sanitation Agencies, California Committees Against Toxics, California Environmental Rights Alliance, California Safe Schools, Center for Environmental Health, Californians Against"
116,"California Association, Sheet Metal Unknown and Air Conditioning Contractors National Association"
117,California Attorney General Congress of California Seniors
118,California Attorneys for Criminal Justice (CACJ) and the California DUI Lawyers Association (CDLA) oppose what they see as an
119,California Bankers Assoc. Studely
120,"California Bankers Association, California Chamber of Commerce, California Taxpayers' Association, California Manufacturers and Technology Association, Tech America, Western States Petroleum Association"
121,California Bankers Association/First Interstate Bank
122,California Cable & Telecommunications Association California Chamber of Commerce Howard Jarvis Taxpayers Association Matt Gray on behalf of the following entities: Association of Club Executives of California
123,"California Certified Organic Farmers (One letter) Nextgen California Oakland Unified School District Open Heart Kitchen Policylink River City Food Bank San Diego Unified School District School and Nutrition Food Services San Francisco-Marin Food Bank San Jose Bridge Communities San Luis Coastal Unified School District San Mateo County Food Systems Alliance Second Harvest Food Bank Santa Cruz County Second Harvest of Silicon Valley Second Harvest of The Greater Valley Share Our Strength Sierra Harvest Stemple Creek Ranch Street Level Health Project The Office of Kat Taylor The Public Interest Law Project The Resource Connection Food Bank Tomkat Ranch Union of Concerned Scientists United States Healthful Food Council Inc., Dba Eat Real Urban & Environmental Policy Institute Occidental College Western Center on Law & Poverty Western Center on Law & Poverty, INC. Westside Food Bank Women's Foundation California Work Equity Action Fund"
124,California Chamber of Commerce -Maldonado California Space Authority
125,California Chamber of Commerce and TechNet are
126,"California Chamber of Commerce, Attorney General of PageB California"
127,California Chapter Alliance of Californians for Community Empowerment Allied Argenta Aspiranet Association of Regional Center Agencies Bay Area Business Roundtable Bay Area Council Bishop Paiute Tribe BRIDGE Housing Burbank Housing Development Corporation California Apartment Association California Asset Building Association California Association of Realtors California Bicycle Coalition California Building Industry Association California Catholic Conference California Church IMPACT California Coalition for Rural Housing California Collaborative for Long Term Services
128,California Chapter Alliance of Californians for Community Empowerment Allied Argenta Aspiranet Association of Regional Center Agencies Bay Area Business Roundtable Bay Area Council Bishop Paiute Tribe Burbank Housing Development Corporation California Apartment Association California Asset Building Association California Association of Realtors California Association of Veteran Service Agencies California Bicycle Coalition California Building Industry Association California Catholic Conference California Church IMPACT California Coalition for Rural Housing California Coalition for Youth California Collaborative for Long Term Services
129,California Chapter Association of Regional Center Agencies California Alternative Payment Program Association California Apartment Association California Catholic Conference California Collaborative for Long Term Services And
130,"California Coastal Coalition, California League"
131,"California Coastkeeper (testified at Asm. Nat. | |California Coastal Coalition (testified at Asm. | |Heart and Soul Coalition, The (Orange County) | |Huntington Beach Wetlands Conservancy & Wildlife | |Silverado Modjeska Recreation and Parks District | |Southern California Wetlands Recovery Project))"
132,"California Commission on the Status of Women, National Youth Center for Law"
133,California Communications Association-California Cable and Telecommunications Association
134,California Conference of Machinists -Dunn
135,California Correctional Peace OfficersCalifornia Attorneys for Association Criminal Justice
136,"California Council for Environmental and Economic Balance, which is co-sponsoring this bill along with the State Building and Construction Trades Council"
137,California Delivery Association California Labor Federation Greater California Livery Association Los Angeles Taxi Workers Alliance Sacramento Taxi Cab Union San Francisco Taxi Workers Alliance San Jose Taxi Drivers Association United Taxi Workers of San Diego Four individuals
138,California Delivery Association California Labor Federation Greater California Livery Association Los Angeles Taxi Workers Alliance Sacramento Taxi Cab Union San Francisco Taxi Workers Alliance San Jose Taxi Drivers Association United Taxi Workers of San Diego Numerous individuals
139,California Dental Association: GOVERNOR'S VETO MESSAGE
140,California Edge Coalition-California Budget Project
141,"California Environmental Rights Alliance, California League of Conservation Voters, California Communities Against Toxics, California Safe Schools, Center for Environmental Health, Community Coalition for Change, Consumer Attorneys of California, Del"
142,"California Environmental Rights Alliance, California Safe Schools, Center for Environmental Health, Communities for a Better"
143,"California Federation for Animal Legislation Fund for Animals, Inc"
144,"California Federation of Scientists, Waste"
145,California Food Policy Advocates and California Church
146,California Grocers Association State Superintendent of Public Instruction
147,"California Healthcare Association, Center for Behavioral: Health"
148,"California Immigrant Policy Center (CIPC Children's Defense Fund - California Coalition of California Welfare Rights Organizations, Inc. County Welfare Directors Association of CA (CWDA) Courage Campaign Ella Baker Center for Human Rights Hunger Action Los Angeles National Association of Social Workers, CA Chapter (NASW-CA) Saint Anthony's Foundations Western Center on Law and Poverty)"
149,California Judges WomenChildren's Rights Council CommitteeVarious individuals
150,"California Legislative Black Caucus (including Assembly Members Mitchell, Bradford, Weber, Jones-Sawyer, Hall, Holden, and Brown California State Conference of the National Association for the Advancement of Colored People California Urban Partnership Cestra Butner, President, Oakland Board of Pilot Commissioners Compton Branch of the National Association for the Advancement of Colored People Golden State Medical Association of California Green Technical Education and Employment Omega Psi Phi Fraternity Pasadena Branch of the National Association for the Advancement of Colored People Ryan McCreary, President, Gamma Chi Lambda Chapter, Alpha Phi Alpha Fraternity, Inc. San Francisco African American Chamber of Commerce San Gabriel Valley Branch of the National Association for the Advancement of Colored People San Mateo Branch of the National Association for the Advancement of Colored People)"
"California Library Association, The Trust for Public Land, California Teachers Association, California Special",California Library Association ; The Trust for Public Land ; California Teachers Association ; California Special Districts Association
"California Library Services Board, Anne R. Bernardo, President",California Library Services Board
California Long Term Care Coalition (prior version California Mental Health Advocates for Older Adults (prior version) California Mental Health Directors Association California Psychiatric Association California State PTA Chief of Police of the City of Bell (prior version) Congress of California Seniors (prior version) Didi Hirsch Community Mental Health Center (prior version) Family Service Council of California (prior version) Gray Panthers California (prior version) Henrietta Weill Memorial Child Guidance Clinic JERICHO: A Voice for Justice (prior version) Los Angeles County Board of Supervisors (prior version) National Alliance for the Mentally Ill - North Coastal San Diego County (prior version) National Alliance for the Mentally Ill California (prior version) New Hopes Crisis Counseling Center (prior version) Office of the Sheriff of San Bernardino County (prior version) Suicide Prevention Advocacy Network - California (prior version) Yellow Ribbon Suicide Prevention Program (prior version) Numerous individuals),California Long Term Care Coalition ; California Mental Health Advocates for Older Adults ; California Mental Health Directors Association ; California Psychiatric Association ; California State PTA ; Chief of Police of the City of Bell ; Congress of California Seniors ; Didi Hirsch Community Mental Health Center ; Family Service Council of California ; Gray Panthers California ; Henrietta Weill Memorial Child Guidance Clinic ; JERICHO: A Voice for Justice ; Los Angeles County Board of Supervisors ; National Alliance for the Mentally Ill - North Coastal San Diego County ; National Alliance for the Mentally Ill California ; New Hopes Crisis Counseling Center ; Office of the Sheriff of San Bernardino County ; Suicide Prevention Advocacy Network - California ; Yellow Ribbon Suicide Prevention Program
California Manufacturers & Technology Association-National Federation of Independent Business,California Manufacturers & Technology Association ; National Federation of Independent Business
California Municipal Business Tax Association: GOVERNOR'S VETO MESSAGE,California Municipal Business Tax Association
California Municipal Utilities Association California Police Chiefs Association Association California State,California Municipal Utilities Association ; California Police Chiefs Association
"California Municipal Utilities Association, Association of California Water Agencies, California Water Association write",California Municipal Utilities Association ; Association of California Water Agencies ; California Water Association
California Nurses Association California Breast Cancer Organization,California Nurses Association ; California Breast Cancer Organization
"California Optometric Association American Federation of State, County and Municipal Employees American Academy of Pediatrics California Pharmacists Association California Coalition of United Cerebral Palsy Associations California Association of Health Plans Congress of California Seniors California Optometric Association California Psychiatric Association Novartis Pharmaceuticals Pharmaceutical Research and Manufacturers of America","California Optometric Association ; American Federation of State, County and Municipal Employees ; American Academy of Pediatrics ; California Pharmacists Association ; California Coalition of United Cerebral Palsy Associations ; California Association of Health Plans ; Congress of California Seniors ; California Psychiatric Association ; Novartis Pharmaceuticals ; Pharmaceutical Research and Manufacturers of America"
"California Organization of Police and Sheriffs, California Peace Officers' Association, California Police Chiefs Association",California Organization of Police and Sheriffs ; California Peace Officers' Association ; California Police Chiefs Association
"California Public Defenders Association (CDPA Canoga Park Worksource Center/Rescare WorkForce Services California State Association of Counties (CSAC) Catholic Charities of California United (CCCU) Chaldean Middle Easter Social Services (CMSS) Children's Rights Project at Public Counsel Coalition of California Welfare Rights Organizations, Inc. The Community Food and Justice Coalition Community Works West Cottage Housing Eden Information and Referral (Eden I&R) El Monte/South El Monte Emergency Resources Association Ella Baker Center for Human Rights First Congregational Church of Pasadena United Church of Christ Friends Committee on Legislation of California (FCLCA) Gamble Institute Greenlining Institute Hunger Action Los Angeles Insight center for Community Economic Development The Jacobs & Cushman San Diego Food Bank Jericho Training Center Justice First, LLP Justice Not Jails Justice Now Legal Services for Prisoners with Children Lawyers' Committee for Civil Rights of the San Francisco Bay Area Los Angeles Alliance for a New Economy (LAANE) Los Angeles Regional Reentry Partnership (LARRP) Lutheran Office of Public Policy - California Metro United Methodist Urban Ministry National Association of Social Workers, California Chapter (NASW-CA) North County Community Services Project New Village Public Counsel Returning Home Foundation Sacramento Housing Alliance San Mateo County Board of Supervisors Second Harvest Food Bank Santa Cruz County St. Mary's Episcopal Church, Los Angeles Starting Over, Inc. Urban Counties Caucus Women Organizing Resources, Knowledge, & Services (WORKS) The Women's Foundation of California The Youth Justice Coalition Three Individuals)","California Public Defenders Association ; Canoga Park Worksource Center/Rescare WorkForce Services ; California State Association of Counties ; Catholic Charities of California United ; Chaldean Middle Eastern Social Services ; Children's Rights Project at Public Counsel ; Coalition of California Welfare Rights Organizations, Inc. ; The Community Food and Justice Coalition ; Community Works West ; Cottage Housing ; Eden Information and Referral ; El Monte/South El Monte Emergency Resources Association ; Ella Baker Center for Human Rights ; First Congregational Church of Pasadena United Church of Christ ; Friends Committee on Legislation of California ; Gamble Institute ; Greenlining Institute ; Hunger Action Los Angeles ; Insight Center for Community Economic Development ; The Jacobs & Cushman San Diego Food Bank ; Jericho Training Center ; Justice First, LLP ; Justice Not Jails ; Justice Now ; Legal Services for Prisoners with Children ; Lawyers' Committee for Civil Rights of the San Francisco Bay Area ; Los Angeles Alliance for a New Economy ; Los Angeles Regional Reentry Partnership ; Lutheran Office of Public Policy - California ; Metro United Methodist Urban Ministry ; National Association of Social Workers, California Chapter ; North County Community Services ; Project New Village ; Public Counsel ; Returning Home Foundation ; Sacramento Housing Alliance ; San Mateo County Board of Supervisors ; Second Harvest Food Bank Santa Cruz County ; St. Mary's Episcopal Church, Los Angeles ; Starting Over, Inc. ; Urban Counties Caucus ; Women Organizing Resources, Knowledge, & Services (WORKS) ; The Women's Foundation of California ; The Youth Justice Coalition"
California Public Defenders Association Assembly Floor Vote:,California Public Defenders Association
"California Refuse Removal Council (North/South), and Republic: Services, Inc","California Refuse Removal Council (North/South) ; Republic Services, Inc"
California Right to Life Committee Two individuals,California Right to Life Committee
"California Rural Legal Assistance Foundation, Poder Popular of",California Rural Legal Assistance Foundation ; Poder Popular of the Coachella Valley
"California Society of Certified Public Accountants, and Personal Insurance",California Society of Certified Public Accountants
California Speech-Language-Hearing Association: Five individuals,California Speech-Language-Hearing Association
California State Association of Counties -Knight State Association of County Auditors,California State Association of Counties ; California State Association of County Auditors
California State Association of Counties California Emergency Services Association Regional Council of Rural Counties Urban Counties Caucus The following counties: Alpine,California State Association of Counties ; California Emergency Services Association ; Regional Council of Rural Counties ; Urban Counties Caucus
California State Association of Counties and the State Sheriffs Association,California State Association of Counties ; California State Sheriffs' Association
"California State Association of Counties, California Public Securities Association",California State Association of Counties ; California Public Securities Association
"California State Association of Counties, California Public Securities Association, American Federation of State, County, and Municipal","California State Association of Counties ; California Public Securities Association ; American Federation of State, County and Municipal Employees"
California State Association of Electrical Workers and Pipe,California State Association of Electrical Workers
California State Association of Western States Council of Sheet Metal Workers,Western States Council of Sheet Metal Workers
California State Sheriffs' Association and the California Police Chiefs Association,California State Sheriffs' Association ; California Police Chiefs Association
"California State University, Chico, Department of Construction Management: GOVERNOR'S VETO MESSAGE","California State University, Chico, Department of Construction Management"
California StateStrong Indivisible,California StateStrong ; Indivisible
California Teachers Association (CTA): GOVERNOR'S VETO MESSAGE,California Teachers Association (CTA)
California Teachers Association California League of Conservation Voters Center for Civic Literacy Mexican American Legal Defense and Educational Fund (MALDEF) Californians for Political Reform California Newspaper Publishers Association Consumers Union California Association of Licensed Investigators Common Cause Fair Political Practices Commission California Public Interest Research Group California Commission on Aging Your Voices Count Silicon Valley Software Industry Coalition,California Teachers Association ; California League of Conservation Voters ; Center for Civic Literacy ; Mexican American Legal Defense and Educational Fund (MALDEF) ; Californians for Political Reform ; California Newspaper Publishers Association ; Consumers Union ; California Association of Licensed Investigators ; Common Cause ; Fair Political Practices Commission ; California Public Interest Research Group ; California Commission on Aging ; Your Voices Count ; Silicon Valley Software Industry Coalition
California Telephone Association Kerman Telephone Company,California Telephone Association ; Kerman Telephone Company
"California Truck Centers, California Trucking Association, E.M. Tharp Inc., Eppler, Fresno Truck Center, Garabedian Equipment Company, HCT Inc., Lyons Transportation, NorCal Kenworth, Papé Kenworth, Sacramento Truck Center, Valley Bulk Inc., Velocity Truck Centers",California Truck Centers ; California Trucking Association ; E.M. Tharp Inc. ; Eppler ; Fresno Truck Center ; Garabedian Equipment Company ; HCT Inc. ; Lyons Transportation ; NorCal Kenworth ; Papé Kenworth ; Sacramento Truck Center ; Valley Bulk Inc. ; Velocity Truck Centers
California Turtle & Tortoise Club Actors and Others for Animals,California Turtle & Tortoise Club ; Actors and Others for Animals
"California Veterans Board Cities of Del Rio, Dorris, Mount",California Veterans Board ; City of Del Rio ; City of Dorris
"California Water Association, City of",California Water Association
California Women Lawyers: Pregnancy Consultation Center,California Women Lawyers ; Pregnancy Consultation Center
"California Women's Law Center, Amy Poyer, Senior Staff Attorney",California Women's Law Center
"California, Environmental Justice Coalition for Water, Environmental Working Group, Greenaction",Environmental Justice Coalition for Water ; Environmental Working Group ; Greenaction
Californians to Amend Three Strikes,Californians to Amend Three Strikes
"Calpine Corporation, California State Association of Counties",Calpine Corporation ; California State Association of Counties
Camarillo City of Chula Vista,City of Camarillo ; City of Chula Vista
CamarilloCampbell Carlsbad Carpinteria Ceres Cerritos,City of Camarillo ; City of Campbell ; City of Carlsbad ; City of Carpinteria ; City of Ceres ; City of Cerritos
Capitol Resource Institute Concerned Women for America Not On Our Watch Right to Life League The Sale & Light Council Traditional Values for Next Generations (TVNEXT) 2 individuals Pending Legislation: SB 1142 (Caballero and Skinner),Capitol Resource Institute ; Concerned Women for America ; Not On Our Watch ; Right to Life League ; The Sale & Light Council ; Traditional Values for Next Generations (TVNEXT)
Care Health Plan La Care Health Plan Law Foundation of Silicon Valley LeadingAge California Legal Aid Society of San Diego Legal Aid Society of San Mateo County Legal Assistance for Seniors Life Eldercare Little Tokyo Service Center Local Health Plans of California Long Term Services,L.A. Care Health Plan ; Law Foundation of Silicon Valley ; LeadingAge California ; Legal Aid Society of San Diego ; Legal Aid Society of San Mateo County ; Legal Assistance for Seniors ; Life Eldercare ; Little Tokyo Service Center ; Local Health Plans of California
"Caucus, California State Association of Counties, East Bay",California State Association of Counties
"Center for Marine Conservation, Deltakeeper, Desert Citizens Against Pollution, Environmental Working Group, Friends of the River, Golden Gate Audubon Society, Greenaction, Heal the Bay, Mono Lake Committee, Natural Resources Defense Council, Pacific",Center for Marine Conservation ; Deltakeeper ; Desert Citizens Against Pollution ; Environmental Working Group ; Friends of the River ; Golden Gate Audubon Society ; Greenaction ; Heal the Bay ; Mono Lake Committee ; Natural Resources Defense Council
"Center for a Livable Future, Johns Hopkins Bloomberg School of Public Health",Johns Hopkins Center for a Livable Future
"Cerebral Palsy Associations, Consumers for Quality Care",United Cerebral Palsy Associations ; Consumers for Quality Care
"Chamber of Commerce, Board of Supervisors, and City Council, Sierra Club California, Southwest",Sierra Club California
"Chamber of Commerce, California Council for Environmental and Economic Balance, California",California Council for Environmental and Economic Balance
"Chamber of Commerce, California Manufacturers and Technology Association, Computing",California Manufacturers and Technology Association ; Computing Technology Industry Association
"Chapter of the Health Physics Society, Stanford University, Thomas Gray & Associates Inc., 4 individual letters",Health Physics Society ; Stanford University ; Thomas Gray & Associates Inc.
"Chemical Industry Council of California, California Hispanic Chamber of Commerce, California League of Conservation Voters, California Public Interest Research Group, Chemical Industry Council of California, Community Development Commission of National",Chemical Industry Council of California ; California Hispanic Chamber of Commerce ; California League of Conservation Voters ; California Public Interest Research Group ; Community Development Commission of National City
"Chemistry Council, the American Electronics Association, the Bromine Science and Environmental Forum, California Women for Agriculture, Western Plan Health Association, Styrene",American Chemistry Council ; American Electronics Association ; Bromine Science and Environmental Forum ; California Women for Agriculture ; Western Plan Health Association
"Chiefs of Police from: Foster City, Palm Springs, Stockton, Farmersville, Waterford, Modesto, Ripon, Anaheim, Fresno, South Lake Tahoe, Fort Bragg, Sanger, Scotts Valley, Blue Lake, Redding, Exeter, San Carlos, Santa Ana, Hughson, Glendale",City of Foster City Police Department ; City of Palm Springs Police Department ; City of Stockton Police Department ; City of Farmersville Police Department ; City of Waterford Police Department ; City of Modesto Police Department ; City of Ripon Police Department ; City of Anaheim Police Department ; City of Fresno Police Department ; City of South Lake Tahoe Police Department ; City of Fort Bragg Police Department ; City of Sanger Police Department ; City of Scotts Valley Police Department ; City of Blue Lake Police Department ; City of Redding Police Department ; City of Exeter Police Department ; City of San Carlos Police Department ; City of Santa Ana Police Department ; City of Hughson Police Department ; City of Glendale Police Department
"Chiefs of Police of the Cities of Redding, Redondo Beach, Tustin, Monrovia, Ridgecrest, Orange, Signal Hill, Healdsberg, Napa, Sacramento, Pomona, Sonoma, Chico, National City, Cypress, Selma, San Luis Obispo, Irvine, Oxnard, Santa Clara, Fontana, Redwood City, San",City of Redding Police Department ; City of Redondo Beach Police Department ; City of Tustin Police Department ; City of Monrovia Police Department ; City of Ridgecrest Police Department ; City of Orange Police Department ; City of Signal Hill Police Department ; City of Healdsburg Police Department ; City of Napa Police Department ; City of Sacramento Police Department ; City of Pomona Police Department ; City of Sonoma Police Department ; City of Chico Police Department ; City of National City Police Department ; City of Cypress Police Department ; City of Selma Police Department ; City of San Luis Obispo Police Department ; City of Irvine Police Department ; City of Oxnard Police Department ; City of Santa Clara Police Department ; City of Fontana Police Department ; City of Redwood City Police Department
"Child Care Resource & Referral, Plumas Rural Services Inc",Child Care Resource & Referral ; Plumas Rural Services Inc
"Children's Advocacy Institute, Individuals",Children's Advocacy Institute
"Children's Defense Fund -- California California Attorneys for Criminal Justice California Catholic Conference of Bishops California Coalition for Women Prisoners California Psychiatric Association Center for Juvenile Law and Policy at Loyola Law School Center for Law and Global Justice Center on Juvenile and Criminal Justice Child Welfare League of America Equal Justice Society Faith Communities for Families and Children Families to Amend Three Strikes Free Battered Women Fresno Center for Nonviolence Friends Committee on Legislation Homeboy Industries Interfaith Communities United for Justice and Peace Justice Policy Institute Legal Services for Children Lutheran Office of Pubic Policy -- California NAACP Legal Defense and Educational Fund, Inc. National Center for Women and Policing National Council on Crime and Delinquency Our Lady of the Holy Rosary Church, Sun Valley Pacific Juvenile Defender Center Progressive Jewish Alliance Penal Reform International Taxpayers for Improving Public Safety The Office of Justice and Peace of the Archdiocese of Los Angeles The Sentencing Project USF School of Law","Children's Defense Fund - California ; California Attorneys for Criminal Justice ; California Catholic Conference of Bishops ; California Coalition for Women Prisoners ; California Psychiatric Association ; Center for Juvenile Law and Policy at Loyola Law School ; Center for Law and Global Justice ; Center on Juvenile and Criminal Justice ; Child Welfare League of America ; Equal Justice Society ; Faith Communities for Families and Children ; Families to Amend Three Strikes ; Free Battered Women ; Fresno Center for Nonviolence ; Friends Committee on Legislation ; Homeboy Industries ; Interfaith Communities United for Justice and Peace ; Justice Policy Institute ; Legal Services for Children ; Lutheran Office of Public Policy - California ; NAACP Legal Defense and Educational Fund, Inc. ; National Center for Women and Policing ; National Council on Crime and Delinquency ; Our Lady of the Holy Rosary Church, Sun Valley ; Pacific Juvenile Defender Center ; Progressive Jewish Alliance ; Penal Reform International ; Taxpayers for Improving Public Safety ; The Office of Justice and Peace of the Archdiocese of Los Angeles ; The Sentencing Project ; USF School of Law"
"Children's Defense Fund -- California California Attorneys for Criminal Justice California Catholic Conference of Bishops California Coalition for Women Prisoners California Public Defenders Association California Psychiatric Association Center for Juvenile Law and Policy at Loyola Law School Center for Law and Global Justice Center on Juvenile and Criminal Justice Child Welfare League of America Equal Justice Society Faith Communities for Families and Children Families to Amend Three Strikes Free Battered Women Fresno Center for Nonviolence Friends Committee on Legislation Homeboy Industries Interfaith Communities United for Justice and Peace Justice Policy Institute Legal Services for Children Lutheran Office of Pubic Policy -- California NAACP Legal Defense and Educational Fund, Inc. National Center for Women and Policing National Council on Crime and Delinquency Our Lady of the Holy Rosary Church, Sun Valley Pacific Juvenile Defender Center Progressive Jewish Alliance Penal Reform International Taxpayers for Improving Public Safety The Office of Justice and Peace of the Archdiocese of Los Angeles The Sentencing Project USF School of Law","Children's Defense Fund - California ; California Attorneys for Criminal Justice ; California Catholic Conference of Bishops ; California Coalition for Women Prisoners ; California Public Defenders Association ; California Psychiatric Association ; Center for Juvenile Law and Policy at Loyola Law School ; Center for Law and Global Justice ; Center on Juvenile and Criminal Justice ; Child Welfare League of America ; Equal Justice Society ; Faith Communities for Families and Children ; Families to Amend Three Strikes ; Free Battered Women ; Fresno Center for Nonviolence ; Friends Committee on Legislation ; Homeboy Industries ; Interfaith Communities United for Justice and Peace ; Justice Policy Institute ; Legal Services for Children ; Lutheran Office of Public Policy - California ; NAACP Legal Defense and Educational Fund, Inc. ; National Center for Women and Policing ; National Council on Crime and Delinquency ; Our Lady of the Holy Rosary Church, Sun Valley ; Pacific Juvenile Defender Center ; Progressive Jewish Alliance ; Penal Reform International ; Taxpayers for Improving Public Safety ; The Office of Justice and Peace of the Archdiocese of Los Angeles ; The Sentencing Project ; USF School of Law"
"Church State Council, 7th Day Adventist Churches",Church State Council ; Seventh-day Adventist Church
"Church, Landfill Alternatives Save",Landfill Alternatives Save Environmental Resources
"Cimino Brothers Produce, Coalition of Labor, Agriculture & Business, Concerned Citizens to Stop Outside Dumping, Imperial Valley Vegetable","Cimino Brothers Produce ; Coalition of Labor, Agriculture & Business ; Concerned Citizens to Stop Outside Dumping ; Imperial Valley Vegetable Growers"
"Cities Agoura, Alameda, Brentwood, Carlsbad, Clayton, Encinitas, Foster City, Fremont, Hidden Hills, Lafayette, Lawndale, Martinez, Menifee, Norwalk, Redwood City, Riverside, San Pablo, Soledad, Walnut Creek, andWoodland",City of Agoura Hills ; City of Alameda ; City of Brentwood ; City of Carlsbad ; City of Clayton ; City of Encinitas ; City of Foster City ; City of Fremont ; City of Hidden Hills ; City of Lafayette ; City of Lawndale ; City of Martinez ; City of Menifee ; City of Norwalk ; City of Redwood City ; City of Riverside ; City of San Pablo ; City of Soledad ; City of Walnut Creek ; City of Woodland
"Cities Association, League of California Cities, Los",League of California Cities
"Cities of Azusa, Burlingame. Daly City, Foster City, Glendale, Hermosa Beach, Irvine, La Canada Flintridge, Lake Forest, Loma Linda, Lomita, Manhattan Beach, Menlo Park, Milpitas, Monterey Park, Orange, Redondo Beach, Rolling Hills, Rolling Hills Estates, San Carlos, San Gabriel, San Marino, San Mateo, Santa Fe Springs, Temple City, Carmel",City of Azusa ; City of Burlingame ; City of Daly City ; City of Foster City ; City of Glendale ; City of Hermosa Beach ; City of Irvine ; City of La Canada Flintridge ; City of Lake Forest ; City of Loma Linda ; City of Lomita ; City of Manhattan Beach ; City of Menlo Park ; City of Milpitas ; City of Monterey Park ; City of Orange ; City of Redondo Beach ; City of Rolling Hills ; City of Rolling Hills Estates ; City of San Carlos ; City of San Gabriel ; City of San Marino ; City of San Mateo ; City of Santa Fe Springs ; City of Temple City ; City of Carmel
"Cities of Bellflower, Claremont, La Palma, Lakewood, San Ramon, Pomona, Agoura Hills, Diamond Bar, El Monte, Hermosa Beach, Laverne, Manhattan Beach, Pasadena, Poway, San Gabriel, West Covina, La Mirada Arcadia, Bradbury, Temple City, Sierra Madre, Carson, San Dimas, Glendora, Santa Clarita, Malibu Orange County Division, League of California Cities","City of Bellflower ; City of Claremont ; City of La Palma ; City of Lakewood ; City of San Ramon ; City of Pomona ; City of Agoura Hills ; City of Diamond Bar ; City of El Monte ; City of Hermosa Beach ; City of La Verne ; City of Manhattan Beach ; City of Pasadena ; City of Poway ; City of San Gabriel ; City of West Covina ; City of La Mirada ; City of Arcadia ; City of Bradbury ; City of Temple City ; City of Sierra Madre ; City of Carson ; City of San Dimas ; City of Glendora ; City of Santa Clarita ; City of Malibu ; League of California Cities, Orange County Division"
"Cities of Hemet, La",City of Hemet
Cities of: (cont.) Ontario Oxnard Palm Desert Poway Riverside San Bernardino San Jose Santa Clarita Selma Stockton Thousand Oaks Torrance Tustin Vista Vacaville Walnut Creek West Covina,City of Ontario ; City of Oxnard ; City of Palm Desert ; City of Poway ; City of Riverside ; City of San Bernardino ; City of San Jose ; City of Santa Clarita ; City of Selma ; City of Stockton ; City of Thousand Oaks ; City of Torrance ; City of Tustin ; City of Vista ; City of Vacaville ; City of Walnut Creek ; City of West Covina
