leginfo_org,leginfo_bills,suggested_canonical,matched_name_in_crosswalk,matched_via,wratio,token_set_ratio
Centennial High School (Corona),1,"Centennial High School, Corona","Centennial High School, Corona",canonical,100.0,95.1
Cendent Car Rental Group (Avis and Budget,1,Cendant Car Rental Group,Cendent Car Rental Group (Avis and Budget),alt(alternate_spelling),100.0,98.8
Cement Masons (Local 500),1,Cement Masons,Cement Masons Local 500,alt(chapter),97.9,79.2
Causa Justa:Just Cause,1,CAUSA JUSTA: JUST CAUSE,Causa Justa/Just Cause,alt(alternate_spelling),100.0,95.5
"Catholics for Life, Sacramento Diocese",1,Catholics for Life - Sacramento Diocese,Catholics for Life - Sacramento Diocese,canonical,98.7,96.1
Catholics For Life -- Sacramento Diocese,1,Catholics for Life - Sacramento Diocese,Catholics for Life - Sacramento Diocese,canonical,98.7,96.2
"Catholic War Veterans of the United States, Coachella Valley Chapter",1,"Catholic War Veterans of United States, Coachella Valley","Catholic War Veterans of United States, Coachella Valley Chapter",alt(chapter),97.0,100.0
"Catholic Charities, San Francisco County",1,Catholic Charities-San Francisco County,Catholic Charities-San Francisco County,canonical,98.7,96.2
"Catholic Charities, San Diego",1,Catholic Charities-San Diego,Catholic Charities-San Diego,canonical,98.2,94.7
"Casa Familiar, Inc. - San Ysidro",1,"Casa Familiar, Inc., San Ysidro","Casa Familiar, Inc., San Ysidro",canonical,98.4,95.2
Caregiver Resource Center-Orange County,1,Caregiver Resource Center - Orange County,Caregiver Resource Center - Orange County,canonical,97.5,95.0
"Cardinal Roger Mahoney, Archbishop of Los Angeles",1,"Roger Cardinal Mahony, Archbishop of Los Angeles","Cardinal Roger Mahony, Archbishop of Los Angeles",alt(alternate_spelling),99.0,99.0
Car and Truck Renting and Leasing Association of Californian,1,Car and Truck Renting and Leasing Association,Car and Truck Renting and Leasing Association of California,alt(chapter),99.2,99.1
Canyon High School - Canyon Country,1,Canyon High School Canyon Country,Canyon High School Canyon Country,canonical,97.1,100.0
Canopy: Trees for Palo Alto,1,Canopy Trees for Palo Alto,Canopy Trees for Palo Alto,canonical,98.1,98.1
Calvary Church (Tennessee),1,Calvary Church Tennessee,Calvary Church Tennessee,canonical,98.0,96.0
Caltrans),1,Caltrans,Caltrans,canonical,100.0,94.1
California: Chapter,1,California Chapter (ACNP),California Chapter,alt(alternate_spelling),97.3,97.3
California/Nevada Snowmobile Association,1,California Nevada Snowmobile Association,California Nevada Snowmobile Association,canonical,100.0,97.5
California-Pacific Annual Conference of the United Methodist Church,1,California-pacific Annual Conference the United Methodist Church,California-pacific Annual Conference the United Methodist Church,canonical,97.7,96.2
California-Nevada Operating Engineers,1,California/Nevada Operating Engineers,California/Nevada Operating Engineers,canonical,100.0,97.3
California- American Water Company,1,California American Water,California American Water Company,alt(alternate_spelling),98.5,98.5
California's Public Interest Research Group,1,California Public Interest Research Group,California Public Interest Research Group,canonical,97.6,97.6
California federation of Teachers,1,Cailfornia Federation of Teachers,Cailfornia Federation of Teachers,canonical,97.0,93.9
California [un]incorporated,1,California (un)Incorporated,California (un)Incorporated,canonical,100.0,88.9
California Union of Safety Employees [CAUSE,1,CENTRAL COAST ALLIANCE UNITED FOR A SUSTAINABLE ECONOMY,California Union of Safety Employees (CAUSE),alt(chapter),100.0,96.6
California Union of Safety Employees (Section,1,CALIFORNIA UNION OF SAFETY EMPLOYEES,California Union of Safety Employees (Section),alt(alternate_spelling),100.0,98.9
California Travel Industry Association (Cal TIA),1,CALIFORNIA TRAVEL INDUSTRY ASSOCIATION,California Travel Industry Association (CalTIA),alt(alternate_spelling),98.9,98.9
California Traffic School Association),1,California Traffic School Association,California Traffic School Association,canonical,100.0,98.7
California Tele-Health Network,1,California Telehealth Network,California Telehealth Network,canonical,98.3,94.9
California Teamsters Public Affair Council,1,California Teamsters Public Affairs Council,California Teamsters Public Affairs Council,canonical,98.8,98.8
California Teachers of English to Speakers of Other: Languages (CATESOL),1,California Teachers of English to Speakers of Other Languages (CATESOL),California Teachers of English to Speakers of Other Languages (CATESOL),canonical,99.3,99.3
"California Teachers Association, Community College Association",1,CALIFORNIA TEACHER'S ASSOCIATION,California Teachers Association's Community College Association,alt(chapter),99.2,97.6
"California Taxpayers' Association, Cal-Tax",1,California Taxpayers Association,California Taxpayers Association (Cal Tax),alt(alternate_spelling),98.8,85.7
California Taxpayers' Association (Cal-TAX),1,California Taxpayers Association,California Taxpayers Association (Cal Tax),alt(alternate_spelling),98.8,91.8
California Taxpayers,1,California Taxpayer,California Taxpayer,canonical,97.4,97.4
California Structure Settlements Coalition,1,California Structured Settlement Coalition,California Structured Settlement Coalition,canonical,97.6,97.6
California State University Employees' Union (CSUEU),1,CALIFORNIA STATE UNIVERSITY EMPLOYEES' UNION,California State University Employees Union CSUEU,alt(alternate_spelling),98.0,97.0
California State University Employees Union - SEIU Local 2579,1,CALIFORNIA STATE UNIVERSITY EMPLOYEES' UNION,"California State University Employees Union, SEIU, Local 2579",alt(chapter),98.4,96.7
California State Student Association of of Community Colleges,1,California State Student Association of Community Colleges,California State Student Association of Community Colleges,canonical,97.5,100.0
California State Shriff's Association,1,California State Sheriff's Association,California State Sheriff's Association,canonical,98.7,98.7
"California State Sheriffs"" Association",1,California States Sheriffs' Association,California States Sheriffs' Association,canonical,98.7,96.1
California State Sheriffs ' Association,1,California States Sheriffs' Association,California States Sheriffs' Association,canonical,97.4,94.9
California State Parent/Teacher Association,1,CALIFORNIA STATE PARENT TEACHERS ASSOCIATION,California State Parent Teacher Association,alt(alternate_spelling),100.0,97.7
California State Parent Teachers Association (CAPTA),1,California State PTA,California State Parent Teachers Association (PTA),alt(alternate_spelling),98.0,98.0
California State Lodge - Fraternal Order of Police,1,California State Lodge of the Fraternal Order of Police,California State Lodge Fraternal Order of Police,alt(alternate_spelling),98.0,100.0
California State Legislative Board/Brotherhood of Locomotive Engineers &Trainmen/IBT Rail Conference,1,California State Legislative Board/brotherhood of Locomotive Engineers & Trainmen/ibt Rail Conference,California State Legislative Board/brotherhood of Locomotive Engineers & Trainmen/ibt Rail Conference,canonical,99.5,86.6
California State Legislative Board of the SMART-Transportation Division,1,California State Legislative Board of the Smart - Transportation Division,California State Legislative Board of the Smart - Transportation Division,canonical,98.6,91.7
California State Firefighters'Association,1,California State Firefighters' Association,California State Firefighters' Association,canonical,98.8,72.3
"California State Firefighters': Association, Inc",1,California State Firefighter Association,"California State Firefighter' Association, Inc",alt(alternate_spelling),97.9,97.9
"California State Firefighters Association, Inc. [CSFA",1,California State Firefighters' Association,"California State Firefighters' Association, Inc. (CSFA)",alt(alternate_spelling),99.1,87.0
"California State Employees Association, Retired",1,California State Employees Association - Retired,California State Employees Association - Retired,canonical,98.9,96.8
California State Council of Services Employees International Union,1,Service Employees International Union,California State Council of the Services Employees International Union,alt(chapter),97.1,100.0
California State Council - Service Employees International Union,1,California State Council of the Service Employees International,California State Council Service Employees International Union,alt(alternate_spelling),98.4,100.0
"California State Association of Public Administrators, Public Guardians, and- Public Conservators",1,"California State Association of Public Administrators, Public Guardian, and Public Conservators","California State Association of Public Administrators, Public Guardian, and Public Conservators",canonical,99.0,98.8
California State Association of CountiesCalifornia,1,CALIFORNIA STATE ASSOCIATION OF COUNTIES,"California State Association of Counties, California",alt(alternate_spelling),98.0,87.9
"California State Association of Counties, County of",1,County of California State Association of Counties,"California State Association of Counties, County",alt(alternate_spelling),97.0,100.0
California State Association of Counties CSAC),1,CALIFORNIA STATE ASSOCIATION OF COUNTIES,California State Association of Counties (CSAC),alt(alternate_spelling),98.9,98.9
California State Association of Counties - CSAC,1,CALIFORNIA STATE ASSOCIATION OF COUNTIES,California State Association of Counties (CSAC),alt(alternate_spelling),98.9,95.7
"California Society, Certified Public",1,CALIFORNIA SOCIETY OF CERTIFIED PUBLIC ACCOUNTANTS,California Society of Certified Public,alt(alternate_spelling),97.3,94.6
California Society of Health System,1,California Society of Health-Systems,California Society of Health-Systems,canonical,98.6,95.8
California Society of Dermatology and Dermatological Surgery,1,California Society of Dermatology and Dermatologic Surgery,California Society of Dermatology and Dermatologic Surgery,canonical,98.3,98.3
California Service Station and Automotive Repair Asso,1,CALIFORNIA SERVICE STATION & AUTOMOTIVE REPAIR ASSOCIATION,California Service Station and Automotive Repair Assn,alt(alternate_spelling),98.1,98.1
California Senior Legislature CSL),1,CALIFORNIA SENIOR LEGISLATURE,California Senior Legislature (CSL),alt(alternate_spelling),98.5,98.6
California Schools Employees Association (AFL-CIO),1,"California Schools Employees Association, AFL-CIO","California Schools Employees Association, AFL-CIO",canonical,100.0,97.0
California School - Age Consortium,1,California School Age Consortium,California School Age Consortium,canonical,97.0,100.0
California Safety and Legislative Board of SMART-Transportation Division,1,California Safety and Legislative Board of Smart - Transportation Division,California Safety and Legislative Board of Smart - Transportation Division,canonical,98.6,91.8
"California Rural Legal Assistance Foundation, Western Center on",1,"California Rural Legal Assistance Foundation, Western Center","California Rural Legal Assistance Foundation, Western Center",canonical,97.6,100.0
"California Rural Legal Assistance Foundation, (CRLA)",1,CALIFORNIA RURAL LEGAL ASSISTANCE,"California Rural Legal Assistance Foundation, CRLA",alt(alternate_spelling),99.0,98.0
California Right to Life Political Action! Committee,1,California Right To Life Political Action,California Right to Life Political Action Committee,alt(alternate_spelling),99.0,99.0
California Regional Water Quality Control Board - Central Coast Region,1,"California Regional Water Quality Control Board, Central Coast Region","California Regional Water Quality Control Board, Central Coast Region",canonical,99.3,97.8
California Refuse Recycling Council - Northern District,1,California Refuse Recycling Council- The Northern District,"California Refuse Recycling Council, Northern District",alt(alternate_spelling),99.1,97.2
California Public Utilities Commission Division of Ratepayer Advocates,1,DIVISION OF RATEPAYER ADVOCATES,"California Public Utilities Commission, Division of Ratepayers Advocates",alt(alternate_spelling),98.6,98.6
California Public Interest Research Groups,1,California Public Interest Research Group,California Public Interest Research Group,canonical,98.8,98.8
"California Public Interest Research Group, CALPIRG",1,Public Interest Research Group,California Public Interest Research Group (CALPIRG),alt(chapter),100.0,97.0
California Public Interest Research Group (Cal-PIRG),1,Public Interest Research Group,California Public Interest Research Group (CALPIRG),alt(chapter),99.0,95.1
California Public Health Association -North,1,CALIFORNIA PUBLIC HEALTH ASSOCIATION-NORTH,California Public Health Association - North,alt(alternate_spelling),98.9,98.9
California Public Employees Retirement System (Cal-PERS),1,PUBLIC EMPLOYEES' RETIREMENT SYSTEM,California Public Employees Retirement System (Cal PERS),alt(chapter),100.0,98.2
"California Prolife Council, Inc",1,California Pro-Life Council,"California Pro-Life Council, Inc",alt(alternate_spelling),98.4,95.2
California Professional Fireghters,1,International Association of Fire Fighters,California Professional Firefighters,alt(chapter),97.1,97.1
California Professional Firefigthers,1,International Association of Fire Fighters,California Professional Firefighters,alt(chapter),97.2,97.2
California Professional Firefightersz,1,International Association of Fire Fighters,California Professional Firefighters,alt(chapter),98.6,98.6
"California Professional Firefighters, State Council of the International Association of Fire Fighters",1,"California Professional Firefighters, State Council of the International Association of Firefighters","California Professional Firefighters, State Council of the International Association of Firefighters",canonical,99.5,95.4
California Professional Firefighters [CPF,1,California Professional Firefighters (CPF),California Professional Firefighters (CPF),canonical,100.0,96.4
California Professional Firefighteres,1,International Association of Fire Fighters,California Professional Firefighters,alt(chapter),98.6,98.6
California Professional Firefighers,1,International Association of Fire Fighters,California Professional Firefighters,alt(chapter),98.6,98.6
"California Probation, Parole, Correctional Association",1,CALIFORNIA PROBATION PAROLE AND CORRECTIONAL ASSOCIATION,"California Probation, Parole & Correctional Association",alt(alternate_spelling),99.1,97.2
California Prison Healthcare Services (Federal Prison Health,1,California Prison Healthcare Services (Federal Prison Health),California Prison Healthcare Services (Federal Prison Health),canonical,100.0,99.1
California Police Chiefs' Associations (approve in principle),1,California Police Chiefs Association (approve in principle),California Police Chiefs Association (approve in principle),canonical,98.3,98.3
California Peace Officerso Assn,1,California Peace Officers Association,California Peace Officers Assn,alt(alternate_spelling),98.4,98.4
California Peace Officers' Associaton,1,California Peace Offficers' Association,California Peace Offficers' Association,canonical,97.4,97.4
California Peace Officers' Association (from Assembly,1,California Peace Officers' Association (from Assembly),California Peace Officers' Association (from Assembly),canonical,100.0,99.1
California Peace Offcers' Association,1,California Peace Offficers' Association,California Peace Offficers' Association,canonical,97.4,97.4
California Pawnbrokers Association (CPA),1,CALIFORNIA PAWNBROKERS ASSOCIATION,California Pawnbrokers Association (CAPA),alt(alternate_spelling),98.7,98.8
California Park and Recreation Society: Coalition LA,1,California Park and Recreation Society Coalition LA,California Park and Recreation Society Coalition LA,canonical,99.0,99.0
California Pal (Police Activities |League),1,California PAL (Police Activities League),California PAL (Police Activities League),canonical,98.8,89.2
California Otolaryngology - Head and Neck Surgery Society,1,California Otolaryngology-Head and Neck Surgery Society,California Otolaryngology-Head and Neck Surgery Society,canonical,98.2,89.3
California Off Road Vehicle Associaion,1,California Off-road Vehicle Association,California Off-road Vehicle Association,canonical,98.7,93.5
California Nurses Association/National Nurses,1,"California Nurses Association, National Nurses","California Nurses Association, National Nurses",canonical,98.9,96.1
"California Nurses Association, national Nurses Organizing Committee",1,California Nurse Association - National Nurses Organizing Committee,California Nurse Association - National Nurses Organizing Committee,canonical,98.5,91.3
"California Nurses Association, National Nurses United",1,California Nurses Association and National Nurses United,California Nurses Association and National Nurses United,canonical,97.2,94.7
California Nurses Association CNA),1,CALIFORNIA NURSES ASSOCIATION,California Nurses Association (CNA),alt(alternate_spelling),98.5,98.6
California Native Plant Society: Willis Linn Jepson Chapter,1,California Native Plant Society - Willis Linn Jepson Chapter,California Native Plant Society - Willis Linn Jepson Chapter,canonical,99.2,97.5
California Native Plant Society: San Luis Obispo Chapter,1,California Native Plant Society - San Luis Obispo Chapter,California Native Plant Society - San Luis Obispo Chapter,canonical,99.1,97.3
California Native Plant Society: Marin Chapter,1,"California Native Plant Society, Marin Chapter","California Native Plant Society, Marin Chapter",canonical,100.0,97.8
"California Native Plant Society, Willis Linn Jepson Chapter",1,California Native Plant Society - Willis Linn Jepson Chapter,California Native Plant Society - Willis Linn Jepson Chapter,canonical,99.2,97.5
"California Native Plant Society, Milo Baker Chapter",1,California Native Plant Society - Milo Baker Chapter,California Native Plant Society - Milo Baker Chapter,canonical,99.0,97.1
California Native Plant Society - Marin Chapter,1,"California Native Plant Society, Marin Chapter","California Native Plant Society, Marin Chapter",canonical,98.9,96.8
California Native Plant Society - East Bay Chapter,1,"California Native Plant Society, East Bay Chapter","California Native Plant Society, East Bay Chapter",canonical,99.0,97.0
California National Organization for the Reform: of Marijuana Laws,1,California National Organization for the Reform of Marijuana Law,California National Organization for the Reform of Marijuana Law,canonical,98.5,98.5
California Mobilehome Resource Action,1,CALIFORNIA MOBILEHOME RESOURCE & ACTION ASSOCIATION,California Mobilehome Resource & Action,alt(alternate_spelling),97.4,100.0
California Medical Associaition,1,American Medical Association,California Medical Association,alt(chapter),98.4,98.4
California Medical Assocation,1,American Medical Association,California Medical Association,alt(chapter),98.3,98.3
California Mayors (City of Sacramento,1,California Mayors (City of Sacramento),California Mayors (City of Sacramento),canonical,100.0,98.7
California Manufacturers Technology Association,1,CALIFORNIA MANUFACTURERS & TECHNOLOGY ASSOCIATION,California Manufacturer Technology Association,alt(alternate_spelling),98.9,98.9
California Library Associa-tion,1,California Library,California Library Associa- tion,alt(alternate_spelling),98.4,98.4
"California Legislative Council of Older Americans, San Francisco",1,"California Legislative Council for Older Americans, San","California Legislative Council for Older Americans, San Francisco",alt(chapter),97.7,97.7
"California Legislative Conference of Plumbing, Heating and Piping Industries",1,"CALIFORNIA LEGISLATIVE CONFERENCE OF THE PLUMBING, HEATING AND PIPING INDUSTRY","California Legislative Conference of Plumbing, Heating and Piping Industry",alt(alternate_spelling),97.3,97.3
California League of Conservation Voters - Education Fund,1,CALIFORNIA LEAGUE OF CONSERVATION VOTERS,California League of Conservation Voters Education Fund,alt(chapter),98.2,100.0
California Lawyers Association - Taxation Section,1,"California Lawyers Association, Taxation Section","California Lawyers Association, Taxation Section",canonical,99.0,96.9
California Lawyers Association - Business Law Section,1,Business Law Section of the California Lawyers Association,"California Lawyers Association, Business Law Section",alt(alternate_spelling),99.0,97.1
California Law Center on Long-Term Care,1,California Law Center on Long Term Care,California Law Center on Long Term Care,canonical,100.0,97.4
California Labor Federation: AFL-CIO,1,"California Labor Federation, AFL-CIO","California Labor Federation, AFL-CIO",canonical,100.0,97.2
California Labor Federation/AFL/CIO,1,"California Labor Federation, AFL-CIO",California Labor Federation/AFL-CIO,alt(alternate_spelling),100.0,97.1
California Labor Federation/ AFLCIO,1,"California Labor Federation, AFL-CIO","California Labor Federation, AFL-CIO",canonical,98.6,95.8
California Labor Federation/ AFL-CIO,1,"California Labor Federation, AFL-CIO","California Labor Federation, AFL-CIO",canonical,100.0,97.2
"California Labor Federation, AFL_CIO",1,"California Labor Federation, AFL-CIO","California Labor Federation, AFL-CIO",canonical,100.0,97.2
"California Labor Federation, AFL CIO",1,"California Labor Federation, AFL-CIO","California Labor Federation, AFL-CIO",canonical,100.0,97.2
"California Labor Federation, AFL - CIO",1,"California Labor Federation, AFL-CIO","California Labor Federation, AFL-CIO",canonical,97.3,94.6
California Labor Federation AFLCIO,1,"California Labor Federation, AFL-CIO",California Labor Federation/AFL-CIO,alt(alternate_spelling),98.6,78.3
California Labor Federation AFL/CIO,1,"California Labor Federation, AFL-CIO",California Labor Federation/AFL-CIO,alt(alternate_spelling),100.0,77.1
"California Labor Federation , AFL-CIO",1,"California Labor Federation, AFL-CIO","California Labor Federation, AFL-CIO",canonical,98.6,95.9
California Labor Federation (AFL-CIO,1,"California Labor Federation, AFL-CIO","California Labor Federation, AFL-CIO",canonical,100.0,97.2
California Keeping Innocence Digitally Safe (K,1,California Keeping Innocence Digitally Safe Coalition,California Keeping Innocence Digitally Safe (K),alt(alternate_spelling),100.0,98.9
California Judges Associations,1,California Judges Association,California Judges Association,canonical,98.3,98.3
California Interscholastic Federation - Southern Section,1,California Interscholastic Federation Southern California Section,"California Interscholastic Federation, Southern Section",alt(alternate_spelling),99.1,97.3
California Interscholastic Federation - Northern Section,1,California Interscholastic Federation Northern Section,California Interscholastic Federation Northern Section,canonical,98.2,100.0
California Insurance Commissioner Richard Lara,1,CALIFORNIA DEPARTMENT OF INSURANCE,California Insurance Commissioner Ricardo Lara,alt(chapter),97.8,97.8
California Insurance Commissioner Ricard Lara,1,CALIFORNIA DEPARTMENT OF INSURANCE,California Insurance Commissioner Ricardo Lara,alt(chapter),98.9,98.9
"California Independent Public Employees: Legislative Council, Inc",1,CALIFORNIA INDEPENDENT PUBLIC EMPLOYEES LEGISLATIVE COUNCIL,"California Independent Public Employees Legislative Council, Inc",alt(alternate_spelling),99.2,99.2
California Independent Pubic Employees,1,California Independent Public Employees Council,California Independent Public Employees,alt(alternate_spelling),98.7,98.7
California Independent Petroleum Association (CIPA,1,CALIFORNIA INDEPENDENT PETROLEUM ASSOCIATION,California Independent Petroleum Association (CIPA),alt(alternate_spelling),100.0,99.0
California Hotel/Motel Association,1,California Hotel-Motel Association,California Hotel-Motel Association,canonical,100.0,97.1
"California Health+Advocates, a subsidiary of The California Primary Care Association",1,"California Health+Advocates, Subsidiary of the California Primary Care Association","California Health+Advocates, Subsidiary of the California Primary Care Association",canonical,98.8,91.7
"California Health+ Advocates, Subsidiary of The California Primary Care Association",1,"California Health+Advocates, Subsidiary of the California Primary Care Association","California Health+Advocates, Subsidiary of the California Primary Care Association",canonical,99.4,89.5
California Health+ Advocates (subsidiary of the California Primary Care Association),1,"California Health+Advocates, Subsidiary of the California Primary Care Association","California Health+Advocates, Subsidiary of the California Primary Care Association",canonical,99.4,69.4
"California HIV Advocacy Coalition, So Ca Region",1,"California HIV Advocacy Coalition, S Ca Region","California HIV Advocacy Coalition, S Ca Region",canonical,98.9,98.9
California HIV Advocacy Coalition / Southern California,1,California HIV Advocacy Coalition (Southern),California HIV Advocacy Coalition (Southern California),alt(alternate_spelling),99.1,85.7
California HIV Advocacy Coalition - Southern California Region,1,California HIV Advocacy Coalition/Southern California Region,California HIV Advocacy Coalition/Southern California Region,canonical,98.4,96.0
California Grape & Tree Fruit League (CGTFL),1,"California Grape & Tree Fruit League (""CGTFL"")","California Grape & Tree Fruit League (""CGTFL"")",canonical,98.9,97.8
California Food By-products Recyclers,1,California Food Byproducts Recyclers,California Food Byproducts Recyclers,canonical,98.6,98.6
California Fly Fishers,1,California Fly Fisher,California Fly Fisher,canonical,97.7,97.7
California Fence Contractorso Association,1,California Fence Contractor Association,California Fence Contractor Association,canonical,97.5,97.5
California Federation of Labor AFL/CIO),1,"California Labor Federation, AFL-CIO",California Federation of Labor AFL-CIO,alt(alternate_spelling),100.0,96.1
California Federation of Labor - AFL-CIO,1,"California Labor Federation, AFL-CIO",California Federation of Labor AFL-CIO,alt(alternate_spelling),97.4,100.0
California Federation of Labor (AFL-CIO),1,"California Labor Federation, AFL-CIO",California Federation of Labor AFL-CIO,alt(alternate_spelling),98.7,97.4
California Federation of Independent Business,1,NATIONAL FEDERATION OF INDEPENDENT BUSINESSES,California Federation of Independent Businesses,alt(chapter),97.8,97.8
California Federation of Certified: Farmers' Markets,1,California Federation of Certified Farmers Markets,California Federation of Certified Farmers Markets,canonical,98.0,98.0
California Employment Lawyer's Association (CELA),1,CALIFORNIA EMPLOYMENT LAWYER'S ASSOCIATION,"California Employment Lawyers Association ""CELA",alt(alternate_spelling),98.9,95.8
California Emergency Management Agency (Cal-EMA),1,California Emergency Management Agency,California Emergency Management Agency (CalEMA),alt(alternate_spelling),98.9,98.9
California Division of American Association for Marriage and Family: Therapy,1,American Association for Marriage and Family Therapy California Division,California Division of American Association for Marriage and Family Therapy,alt(alternate_spelling),99.3,99.3
California Distributors Association (CDA),1,CALIFORNIA DISTRIBUTORS ASSOCIATION,"California Distributors Association (""CDA"")",alt(alternate_spelling),98.8,97.6
California Department of Justice - Office of the Attorney General,1,"California Department of Justice, Office of the Attorney General","California Department of Justice, Office of the Attorney General",canonical,99.2,97.6
California Department of Forestry Firefighters (CDFF),1,CALIFORNIA DEPARTMENT OF FORESTRY AND FIRE PROTECTION,California Department of Forestry Firefighters (CDF),alt(alternate_spelling),99.0,99.0
California Department of Forestry Firefighters (CDF,1,CALIFORNIA DEPARTMENT OF FORESTRY AND FIRE PROTECTION,California Department of Forestry Firefighters (CDF),alt(alternate_spelling),100.0,99.0
California Democratic Party's Environmental Caucus,1,CALIFORNIA DEMOCRATIC PARTY,California Democratic Party Environmental Caucus,alt(chapter),98.0,98.0
California Democratic Party Environment Caucus,1,CALIFORNIA DEMOCRATIC PARTY,California Democratic Party Environmental Caucus,alt(chapter),97.9,97.9
California Democratic Party - Environmental Caucus,1,CALIFORNIA DEMOCRATIC PARTY,California Democratic Party Environmental Caucus,alt(chapter),98.0,100.0
California Crime victims for Alternative to the Death Penalty,1,California Crime Victims for Alternatives to the Death Penalty,California Crime Victims for Alternatives to the Death Penalty,canonical,99.2,97.6
California Coverage & and Health Initiatives,1,California Coverage and Health Initiatives,California Coverage and Health Initiatives,canonical,97.7,100.0
"California Council of Police and Sheriffs , California Organizationof Police and Sheriffs",1,California Council of Police & Sheriffs,"California Council of Police and Sheriffs, California Organizationof Police and Sheriffs",alt(alternate_spelling),99.4,98.2
California Council of Chapters: The Retired Officers Association,1,California Council of Chapters of the Retired Officers Association,"California Council of Chapters, the Retired Officers Association",alt(alternate_spelling),100.0,96.9
California Council Environmental & Economic Balance,1,California Council for Environmental Balance,California Council Environmental Economic Balance,alt(alternate_spelling),98.0,100.0
"California Council Chapters, Military Officers Association of America",1,Military Officers Association of America,California Council of Chapters Military Officers Association of America,alt(chapter),97.1,99.3
California Correctional Peace Officers Association Benefit Trust Fund (co,1,California Correctional Peace Officers Association,California Correctional Peace Officers Association Benefit Trust Fund,alt(alternate_spelling),97.2,100.0
California Correctional Peace Officers Assoc. [CCPOA,1,California Correctional Peace Officers Association,California Correctional Peace Officers Assn. (CCPOA),alt(alternate_spelling),97.1,84.6
California Continuing Care Retirement Residents Association,1,California Continuing Care Retirement Resident Association,California Continuing Care Retirement Resident Association,canonical,99.1,99.1
California Conservation Corps (Santa Maria),1,CALIFORNIA CONSERVATION CORPS,California Conservation Corps - Santa Maria,alt(alternate_spelling),98.8,83.7
California Conference the Amalgamated Transit Union,1,California Conference of the Amalgamated Transit Union,California Conference of the Amalgamated Transit Union,canonical,97.1,100.0
California Conference of Local Health Offices,1,The California Conference of Local Health Officers (CCLHO),California Conference of Local Health Officers,alt(alternate_spelling),98.9,98.9
California Conference of Local Health Department of Nursing Directors,1,California Conference of Local Health Department Nursing Directors,California Conference of Local Health Department Nursing Directors,canonical,97.8,100.0
California Conference Board- Amalgamated Transit Union,1,CALIFORNIA CONFERENCE BOARD OF THE AMALGAMATED TRANSIT UNION,California Conference Board Amalgamated Transit Union,alt(alternate_spelling),99.1,99.1
California Conference Board - Amalgamated Transit Union,1,CALIFORNIA CONFERENCE BOARD OF THE AMALGAMATED TRANSIT UNION,California Conference Board Amalgamated Transit Union,alt(alternate_spelling),98.1,100.0
California Community Colleges Student Financial Aid Administrators,1,California Community College Student Financial Aid Administrators,California Community College Student Financial Aid Administrators,canonical,99.2,99.2
California Community Colleges (Chancellor's Office),1,CALIFORNIA COMMUNITY COLLEGES,"California Community Colleges, Chancellor's Office",alt(alternate_spelling),100.0,97.0
California Community Choice Association (CalCCA),1,California Community Choice Association (Cal CCA),California Community Choice Association (Cal CCA),canonical,98.9,99.0
California Commission on Uniform State Laws (Bion,1,California Commission on Uniform State Laws (Bion),California Commission on Uniform State Laws (Bion),canonical,100.0,99.0
California Commission Aging,1,California Commisson Aging,California Commisson Aging,canonical,98.1,98.1
California Coalition of United Cerebral Palsy: Associations,1,California Coalition of United Cerebral Palsy Associations,California Coalition of United Cerebral Palsy Associations,canonical,99.1,99.1
"California Coalition of Agencies serving Deaf and Hard of Hearing, Inc",1,California Coalition of Agencies Serving the Deaf and Hard of Hearing,"California Coalition of Agencies Serving the Deaf and Hard of Hearing, Inc",alt(alternate_spelling),97.2,95.7
"California Coalition of Agencies Serving Deaf and Hard of Hearing, Inc",1,California Coalition of Agencies Serving the Deaf and Hard of Hearing,"California Coalition of Agencies Serving the Deaf and Hard of Hearing, Inc",alt(alternate_spelling),97.2,100.0
California Cities for Self Reliance - Joint Powers Authority,1,California Cities for Self Reliance Joint Powers Authority,California Cities for Self Reliance Joint Powers Authority,canonical,98.3,100.0
California Cities for Self -Reliance Joint Powers Authority,1,California Cities for Self Reliance Joint Powers Authority,California Cities for Self Reliance Joint Powers Authority,canonical,99.1,99.1
California Child Development Administrators: Association (CCDAA),1,CALIFORNIA CHILD DEVELOPMENT ADMINISTRATORS ASSOCIATION,"California Child Development Administrators Association, CCDAA",alt(alternate_spelling),99.2,87.3
"California Chapters, National Electrical Contractors Association",1,California Chapters of the National Electrical Contractors Association,California Chapters - National Electrical Contractors Association,alt(alternate_spelling),99.2,97.7
California Chapters of the Brady Campaign to Prevent Gun Violence (co,1,CA CHAPTERS OF THE BRADY CAMPAIGN TO PREVENT GUN VIOLENCE,California Chapters of the Brady Campaign to Prevent Gun Violence,alt(alternate_spelling),97.0,100.0
"California Chapter, American College of Emergency: Physicians",1,California Chapter of the American College of Emergency Room Physicians,California Chapter American College of Emergency Physicians,alt(alternate_spelling),98.3,98.3
California Chapter of the Institute of Scrap Recycling Industries,1,Institute of Scrap Recycling Industries California Chapters,California Chapters of the Institute of Scrap Recycling Industries,alt(alternate_spelling),99.2,99.2
California Chapter of the American Fence Contractors Asssociation,1,AMERICAN FENCE CONTRACTORS' ASSOCIATION,Califiornia Chapter of the American Fence Contractors Association,alt(alternate_spelling),98.5,98.5
